expt_number,ionic_strength,temperature,nominal_pH,P_phosphate,F_TFP_1,F_TFP_2,H_acetate,H_cacodylate,H_formate,H_imidazole_1,H_imidazole_2,H_TFP_3,H_maleate,H_HEPES_1,H_Tris,H_piperazine,H_HEPES_2,H_HEPES_3,H_HEPES_4
299,0.15,283,8.5,2.477480057,-133.3963093,-130.0289146,1.909554888,1.604763505,8.438604184,7.828406918,7.144469801,6.689126222,5.991977382,3.749978666,3.627078915,missing,missing,missing,missing
302,0.15,298,8.5,2.534661419,-133.3838673,-130.1326696,1.906175145,1.604763505,8.441369428,7.826256172,7.150307539,6.701723447,5.988904888,3.751822162,3.611716446,missing,missing,missing,missing
305,0.15,310,8.5,2.571972818,-133.3788945,-130.1975693,1.902795402,1.604149006,8.443827424,7.821647432,7.152765535,6.71001918,5.985832394,3.751822162,3.598504723,missing,missing,missing,missing
308,0.15,283,8.25,2.451539514,-133.3373246,-129.7560658,1.909554888,1.605992502,8.438911433,7.872343579,7.161061268,6.694042212,5.992591881,3.762268641,3.655345858,missing,missing,missing,missing
311,0.15,298,8.25,2.498036591,-133.3155389,-129.8114874,1.905867896,1.605992503,8.441369428,7.858517357,7.162290265,6.707253935,5.989519387,3.763804888,3.637218144,missing,missing,missing,missing
314,0.15,310,8.25,2.523750129,-133.3040034,-129.8532249,1.902795402,1.605992502,8.443827424,7.846227382,7.161983016,6.715549669,5.986754143,3.76288314,3.621241177,missing,missing,missing,missing
317,0.15,283,8,2.404840817,-133.2384205,-129.2908132,1.909554888,1.607528749,8.438604184,7.941781939,7.187177465,6.702030696,5.99320638,3.780703604,3.679311309,missing,missing,missing,missing
320,0.15,298,8,2.437605627,-133.210537,-129.3281699,1.905867896,1.608757747,8.441369428,7.90675551,7.180725228,6.715242419,5.990748385,3.779781856,3.661798095,missing,missing,missing,missing
323,0.15,310,8,2.454773372,-133.2005457,-129.3710656,1.902795402,1.609372245,8.443827424,7.881561061,7.175501989,6.723845402,5.988290389,3.777323861,3.644592129,missing,missing,missing,missing
326,0.15,283,7.75,2.379203438,-133.1859195,-129.0568752,1.909554888,1.608450497,8.438604184,7.97588662,7.200081939,6.706024938,5.993513629,3.788999337,3.686685294,missing,missing,missing,missing
329,0.15,298,7.75,2.407699437,-133.1578076,-129.0943895,1.906175145,1.610293993,8.441983927,7.931028211,7.190249959,6.71985116,5.991670133,3.78777034,3.670708326,missing,missing,missing,missing
332,0.15,310,7.75,2.418148545,-133.1461146,-129.131337,1.903102651,1.610908492,8.443827424,7.899688774,7.182568724,6.728146893,5.989212138,3.783776098,3.653502361,missing,missing,missing,missing
335,0.15,283,7.5,2.108179717,-132.7273084,-126.9089692,1.909554888,1.619511475,8.438604184,8.230289105,7.295636496,6.742587614,5.998736868,3.843382477,3.711879743,missing,missing,missing,missing
338,0.15,298,7.5,2.103102958,-132.7181123,-127.0522574,1.906482394,1.624734714,8.441676678,8.125209818,7.26368256,6.75426309,5.998736868,3.835701243,3.706042005,missing,missing,missing,missing
341,0.15,310,7.5,2.088828265,-132.723326,-127.1837051,1.903102652,1.628114458,8.443520174,8.049626471,7.239409859,6.760715327,5.99781512,3.82740551,3.695288277,missing,missing,missing,missing
344,0.15,283,7.25,1.96137316,-132.5315092,-125.9990029,1.909862138,1.62688546,8.438604184,8.31724068,7.328512179,6.758257332,6.002116612,3.858744946,3.715566736,missing,missing,missing,missing
347,0.15,298,7.25,1.946832944,-132.5330433,-126.1904668,1.906482395,1.633337697,8.441369428,8.203865659,7.293178501,6.768703811,6.00273111,3.850449213,3.712494242,missing,missing,missing,missing
350,0.15,310,7.25,1.925847785,-132.5445912,-126.3602896,1.903409901,1.638253687,8.443827424,8.117221334,7.265218807,6.774848799,6.00303836,3.84215348,3.705120257,missing,missing,missing,missing
353,0.15,283,7,1.744983515,-132.2934036,-124.8938597,1.910169387,1.638868186,8.437532403,8.411532403,7.363845858,6.777306794,6.00795435,3.874107415,3.718946479,missing,missing,missing,missing
